Name,Slot,Damage,Armor,Spirit,Stamina,Worth,Desc
Cape of Eternal Justice,back,0,0,0,0,0,Nothing
Cape of the Trinity,back,0,0,0,0,0,Nothing
Chromatic Cloak,back,0,0,0,0,0,Nothing
Cloak of Clarity,back,0,0,0,0,0,Nothing
Cloak of Concentrated Hatred,back,0,0,0,0,0,Nothing
Cloak of Consumption,back,0,0,0,0,0,Nothing
Cloak of Draconic Might,back,0,0,0,0,0,Nothing
Cloak of Firemaw,back,0,0,0,0,0,Nothing
Cloak of Flames,back,0,0,0,0,0,Nothing
Cloak of Suturing,back,0,0,0,0,0,Nothing
Cloak of the Brood Lord,back,0,0,0,0,0,Nothing
Cloak of the Devoured,back,0,0,0,0,0,Nothing
Cloak of the Fallen God,back,0,0,0,0,0,Nothing
Cloak of the Gathering Storm,back,0,0,0,0,0,Nothing
Cloak of the Golden Hive,back,0,0,0,0,0,Nothing
Cloak of the Honor Guard,back,0,0,0,0,0,Nothing
Cloak of the Necropolis,back,0,0,0,0,0,Nothing
Cloak of the Scourge,back,0,0,0,0,0,Nothing
Cloak of the Shrouded Mists,back,0,0,0,0,0,Nothing
Cloak of the Unseen Path,back,0,0,0,0,0,Nothing
Cloak of Unending Life,back,0,0,0,0,0,Nothing
Cloak of Untold Secrets,back,0,0,0,0,0,Nothing
Cloak of Veiled Shadows,back,0,0,0,0,0,Nothing
Cryptfiend Silk Cloak,back,0,0,0,0,0,Nothing
Deathguards Cloak,back,0,0,0,0,0,Nothing
Dragons Blood Cape,back,0,0,0,0,0,Nothing
Drape of Benediction,back,0,0,0,0,0,Nothing
Drape of Unyielding Strength,back,0,0,0,0,0,Nothing
Drape of Vaulted Secrets,back,0,0,0,0,0,Nothing
Elementium Threaded Cloak,back,0,0,0,0,0,Nothing
Eskhandars Pelt,back,0,0,0,0,0,Nothing
Fireproof Cloak,back,0,0,0,0,0,Nothing
Glacial Cloak,back,0,0,0,0,0,Nothing
Green Dragonskin Cloak,back,0,0,0,0,0,Nothing
Hide of the Wild,back,0,0,0,0,0,Nothing
Puissant Cape,back,0,0,0,0,0,Nothing
Sandstorm Cloak,back,0,0,0,0,0,Nothing
Sapphiron Drape,back,0,0,0,0,0,Nothing
Shifting Cloak,back,0,0,0,0,0,Nothing
Shroud of Dominion,back,0,0,0,0,0,Nothing
Shroud of Infinite Wisdom,back,0,0,0,0,0,Nothing
Shroud of Pure Thought,back,0,0,0,0,0,Nothing
Shroud of Unspoken Names,back,0,0,0,0,0,Nothing
Veil of Eclipse,back,0,0,0,0,0,Nothing
Windshear Cape,back,0,0,0,0,0,Nothing
Amys Blanket,back,0,0,0,0,0,Nothing
Archivist Cape,back,0,0,0,0,0,Nothing
Armswake Cloak,back,0,0,0,0,0,Nothing
Battle Healers Cloak,back,0,0,0,0,0,Nothing
Blackflame Cape,back,0,0,0,0,0,Nothing
Blackmetal Cape,back,0,0,0,0,0,Nothing
Blackveil Cape,back,0,0,0,0,0,Nothing
Blisterbane Wrap,back,0,0,0,0,0,Nothing
Bloodmoon Cloak,back,0,0,0,0,0,Nothing
Butchers Apron,back,0,0,0,0,0,Nothing
Cape of the Black Baron,back,0,0,0,0,0,Nothing
Cape of the Brotherhood,back,0,0,0,0,0,Nothing
Cape of the Fire Salamander,back,0,0,0,0,0,Nothing
Caretakers Cape,back,0,0,0,0,0,Nothing
Cloak of Fire,back,0,0,0,0,0,Nothing
Cloak of Revanchion,back,0,0,0,0,0,Nothing
Cloak of the Cosmos,back,0,0,0,0,0,Nothing
Cloak of the Hakkari Worshipers,back,0,0,0,0,0,Nothing
Cloak of the Savior,back,0,0,0,0,0,Nothing
Cloak of Warding,back,0,0,0,0,0,Nothing
Crystalline Threaded Cape,back,0,0,0,0,0,Nothing
Dark Hooded Cape,back,0,0,0,0,0,Nothing
Dark Phantom Cape,back,0,0,0,0,0,Nothing
Deep Woodlands Cloak,back,0,0,0,0,0,Nothing
Duskbat Drape,back,0,0,0,0,0,Nothing
Earthweave Cloak,back,0,0,0,0,0,Nothing
Energy Cloak,back,0,0,0,0,0,Nothing
Faded Hakkari Cloak,back,0,0,0,0,0,Nothing
Featherskin Cape,back,0,0,0,0,0,Nothing
Firebane Cloak,back,0,0,0,0,0,Nothing
Fluctuating Cloak,back,0,0,0,0,0,Nothing
Frostweaver Cape,back,0,0,0,0,0,Nothing
Frostwolf Advisors Cloak,back,0,0,0,0,0,Nothing
Frostwolf Legionnaires Cloak,back,0,0,0,0,0,Nothing
Gaeas Embrace,back,0,0,0,0,0,Nothing
Glowing Lizardscale Cloak,back,0,0,0,0,0,Nothing
Glowing Thresher Cape,back,0,0,0,0,0,Nothing
Gracious Cape,back,0,0,0,0,0,Nothing
Graverot Cape,back,0,0,0,0,0,Nothing
Grovekeepers Drape,back,0,0,0,0,0,Nothing
Hakkari Loa Cloak,back,0,0,0,0,0,Nothing
Heliotrope Cloak,back,0,0,0,0,0,Nothing
Icy Cloak,back,0,0,0,0,0,Nothing
Junos Shadow,back,0,0,0,0,0,Nothing
Mageflame Cloak,back,0,0,0,0,0,Nothing
Mantle of Lady Faltheress,back,0,0,0,0,0,Nothing
Might of the Tribe,back,0,0,0,0,0,Nothing
Nightfall Drape,back,0,0,0,0,0,Nothing
Onyxia Scale Cloak,back,0,0,0,0,0,Nothing
Overlords Embrace,back,0,0,0,0,0,Nothing
Pale Moon Cloak,back,0,0,0,0,0,Nothing
Phantasmal Cloak,back,0,0,0,0,0,Nothing
Redoubt Cloak,back,0,0,0,0,0,Nothing
Royal Tribunal Cloak,back,0,0,0,0,0,Nothing
Sentry Cloak,back,0,0,0,0,0,Nothing
Sergeants Cape,back,0,0,0,0,0,Nothing
Sergeants Cloak,back,0,0,0,0,0,Nothing
Shadewood Cloak,back,0,0,0,0,0,Nothing
Shadow Prowlers Cloak,back,0,0,0,0,0,Nothing
Shroud of Arcane Mastery,back,0,0,0,0,0,Nothing
Shroud of Domination,back,0,0,0,0,0,Nothing
Shroud of the Exile,back,0,0,0,0,0,Nothing
Silky Spider Cape,back,0,0,0,0,0,Nothing
Spritecaster Cape,back,0,0,0,0,0,Nothing
Stoneshield Cloak,back,0,0,0,0,0,Nothing
Stoneskin Gargoyle Cape,back,0,0,0,0,0,Nothing
Stormpike Sages Cloak,back,0,0,0,0,0,Nothing
Stormpike Soldiers Cloak,back,0,0,0,0,0,Nothing
Tattered Hakkari Cape,back,0,0,0,0,0,Nothing
The Emperors New Cape,back,0,0,0,0,0,Nothing
Tigerstrike Mantle,back,0,0,0,0,0,Nothing
Wildfire Cape,back,0,0,0,0,0,Nothing
Wing of the Whelpling,back,0,0,0,0,0,Nothing
Zulian Tigerhide Cloak,back,0,0,0,0,0,Nothing
